Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR
15/09/13,Granada,Espanol,0,1,A,0,0,D,9,7,1,3,17,16,4,4,3,3,1,0
15/09/13,Malaga,Vallecano,5,0,H,2,0,H,17,12,9,2,13,16,6,5,1,2,0,0
16/09/13,Ath Bilbao,Celta,3,2,H,1,1,D,16,8,6,3,7,18,4,2,2,3,0,0
16/09/13,Elche,Valladolid,0,0,D,0,0,D,10,8,5,4,18,9,10,4,4,1,0,0
20/09/13,Osasuna,Elche,2,1,H,1,0,H,8,13,3,4,17,7,5,8,2,1,0,0
21/09/13,Almeria,Levante,2,2,D,1,0,H,13,16,8,7,16,18,1,7,4,7,1,0
21/09/13,Sociedad,Malaga,0,0,D,0,0,D,10,11,2,4,10,14,5,4,3,3,0,0
21/09/13,Valladolid,Ath Madrid,0,2,A,0,0,D,12,15,2,6,15,13,2,6,2,2,0,0
21/09/13,Vallecano,Barcelona,0,4,A,0,1,A,14,14,9,8,21,16,6,14,2,1,0,0
22/09/13,Betis,Granada,0,0,D,0,0,D,19,4,6,1,13,11,5,3,4,1,0,0
22/09/13,Celta,Villarreal,0,0,D,0,0,D,5,12,1,4,14,13,2,6,5,1,0,0
22/09/13,Real Madrid,Getafe,4,1,H,2,1,H,29,7,11,4,13,15,9,5,1,3,0,1
22/09/13,Valencia,Sevilla,3,1,H,1,0,H,26,9,6,3,15,12,8,8,2,1,0,0
23/09/13,Espanol,Ath Bilbao,3,2,H,1,1,D,11,9,6,3,17,11,3,6,2,2,0,0
24/09/13,Ath Madrid,Osasuna,2,1,H,2,1,H,13,7,4,1,11,14,11,2,3,1,0,0
24/09/13,Barcelona,Sociedad,4,1,H,3,0,H,23,9,9,5,6,12,6,1,0,1,0,0
24/09/13,Levante,Valladolid,1,1,D,1,1,D,24,4,4,2,13,13,7,0,2,4,0,1
24/09/13,Malaga,Almeria,2,0,H,0,0,D,16,7,7,2,12,13,9,5,2,1,0,0
25/09/13,Elche,Real Madrid,1,2,A,0,0,D,11,12,3,5,23,9,4,5,8,2,1,0
25/09/13,Granada,Valencia,0,1,A,0,0,D,13,14,4,3,19,15,5,5,4,2,0,0
25/09/13,Sevilla,Vallecano,4,1,H,1,0,H,16,10,7,4,14,18,4,2,3,4,0,2
26/09/13,Ath Bilbao,Betis,2,1,H,0,0,D,20,10,8,5,8,13,8,4,1,5,0,0
26/09/13,Getafe,Celta,2,0,H,1,0,H,14,9,3,2,14,8,11,5,2,1,0,0
26/09/13,Villarreal,Espanol,2,1,H,1,0,H,8,12,5,3,15,22,3,5,1,3,0,0
27/09/13,Valladolid,Malaga,2,2,D,0,1,A,13,11,3,4,6,7,11,4,3,0,0,0
28/09/13,Almeria,Barcelona,0,2,A,0,1,A,5,15,1,4,20,15,2,3,1,2,0,0
28/09/13,Real Madrid,Ath Madrid,0,1,A,0,1,A,20,13,5,4,21,18,2,7,4,4,0,0
28/09/13,Sociedad,Sevilla,1,1,D,0,1,A,17,10,5,3,11,10,8,5,0,4,0,1
28/09/13,Valencia,Vallecano,1,0,H,1,0,H,5,13,4,3,14,21,3,5,3,5,0,0
29/09/13,Betis,Villarreal,1,0,H,1,0,H,11,7,5,2,15,13,5,6,6,3,0,0
29/09/13,Celta,Elche,0,1,A,0,0,D,7,14,1,4,17,16,7,4,1,3,0,0
29/09/13,Espanol,Getafe,0,2,A,0,0,D,14,7,3,3,8,14,14,4,1,3,0,0
29/09/13,Osasuna,Levante,0,1,A,0,0,D,20,15,5,5,17,15,9,6,5,2,1,0
30/09/13,Granada,Ath Bilbao,2,0,H,0,0,D,13,11,5,4,17,10,5,2,2,1,0,0
04/10/13,Malaga,Osasuna,0,1,A,0,1,A,15,13,3,6,7,14,6,6,1,5,0,0
04/10/13,Villarreal,Granada,3,0,H,1,0,H,16,8,4,1,9,13,6,4,0,1,0,0
05/10/13,Barcelona,Valladolid,4,1,H,1,1,D,21,7,8,1,7,15,7,4,0,3,0,0
05/10/13,Elche,Espanol,2,1,H,1,0,H,12,13,6,3,13,19,4,5,1,1,0,1
05/10/13,Levante,Real Madrid,2,3,A,0,0,D,13,27,5,10,18,13,3,8,1,3,0,0
05/10/13,Vallecano,Sociedad,1,0,H,0,0,D,11,18,1,6,9,8,7,6,2,2,0,0
06/10/13,Ath Bilbao,Valencia,1,1,D,0,1,A,17,12,8,5,8,6,9,2,2,2,0,0
06/10/13,Ath Madrid,Celta,2,1,H,1,0,H,23,3,12,2,12,16,13,0,1,3,0,0
06/10/13,Getafe,Betis,3,1,H,3,0,H,11,15,5,4,19,14,5,10,3,3,0,0
06/10/13,Sevilla,Almeria,2,1,H,1,1,D,22,11,6,4,14,9,12,3,4,5,0,0
19/10/13,Espanol,Ath Madrid,1,0,H,0,0,D,9,6,3,0,16,22,3,3,5,4,0,0
19/10/13,Osasuna,Barcelona,0,0,D,0,0,D,4,12,1,3,13,8,2,5,3,2,0,0
19/10/13,Real Madrid,Malaga,2,0,H,0,0,D,22,3,15,1,5,12,10,1,1,5,0,0
19/10/13,Valencia,Sociedad,1,2,A,0,1,A,16,8,4,3,13,10,8,2,3,1,0,0
20/10/13,Almeria,Vallecano,0,1,A,0,0,D,6,16,2,10,21,13,7,6,2,3,0,1
20/10/13,Betis,Elche,1,2,A,1,2,A,15,7,7,4,22,8,6,7,4,2,0,1
20/10/13,Granada,Getafe,0,2,A,0,0,D,12,15,5,7,21,12,9,3,3,2,1,0
20/10/13,Valladolid,Sevilla,2,2,D,0,2,A,11,16,5,6,14,17,6,5,2,3,0,0
21/10/13,Ath Bilbao,Villarreal,2,0,H,2,0,H,19,6,3,2,14,13,8,4,5,2,0,1
21/10/13,Celta,Levante,0,1,A,0,0,D,15,6,4,3,11,14,2,0,2,1,0,0
25/10/13,Vallecano,Valladolid,0,3,A,0,2,A,17,9,4,6,7,27,8,1,2,2,0,0
26/10/13,Barcelona,Real Madrid,2,1,H,1,0,H,12,10,5,6,19,16,4,3,2,5,0,0
26/10/13,Elche,Granada,0,1,A,0,1,A,8,14,1,3,12,8,5,4,2,3,0,0
26/10/13,Levante,Espanol,3,0,H,2,0,H,6,20,3,6,14,23,3,11,2,5,0,0
26/10/13,Malaga,Celta,0,5,A,0,2,A,7,16,1,9,14,11,5,6,2,0,0,0
27/10/13,Ath Madrid,Betis,5,0,H,1,0,H,16,9,12,1,14,7,6,5,0,2,0,0
27/10/13,Sevilla,Osasuna,2,1,H,0,0,D,23,7,4,3,11,11,9,3,1,4,0,1
27/10/13,Sociedad,Almeria,3,0,H,1,0,H,10,15,3,4,10,14,3,7,1,3,0,0
27/10/13,Villarreal,Valencia,4,1,H,2,0,H,15,16,8,8,14,13,6,9,3,2,0,0
28/10/13,Getafe,Ath Bilbao,0,1,A,0,1,A,14,6,3,5,13,22,9,4,0,3,0,0
29/10/13,Celta,Barcelona,0,3,A,0,1,A,12,20,4,8,17,12,5,7,3,1,0,0
29/10/13,Espanol,Malaga,0,0,D,0,0,D,12,14,3,5,20,11,8,6,1,3,0,0
30/10/13,Osasuna,Vallecano,3,1,H,2,0,H,10,21,6,5,10,9,5,10,0,2,1,0
30/10/13,Real Madrid,Sevilla,7,3,H,3,2,H,18,16,10,6,17,15,2,1,3,2,0,1
30/10/13,Valencia,Almeria,1,2,A,1,0,H,19,8,7,4,14,17,5,2,0,5,0,0
30/10/13,Valladolid,Sociedad,2,2,D,0,1,A,18,16,7,6,15,7,11,4,4,1,0,0
31/10/13,Ath Bilbao,Elche,2,2,D,0,1,A,17,11,5,6,11,10,8,3,3,2,0,0
